# Constructed from biom file
OTUID	W.R4.a	W.R1.b	W.R5.a	W.R2.b	W.R5.b	W.R1.a	W.R3.a	M.NF.R2.a	M.NF.R5.a	M.NF.R1.b	M.M.R3.a	M.M.R5.a	M.NF.R4.a	W.R3.b	M.NF.R3.b	M.M.R2.a	M.M.R1.a	M.M.R4.a
8d55c95b211292cb5e164fd8c709cdae	1849.0	2143.0	4413.0	8517.0	8528.0	23923.0	40422.0	139.0	2520.0	32240.0	10059.0	16814.0	1282.0	12817.0	3832.0	267.0	7995.0	1239.0
1568c382dfdc9a29e16d8e044ad039dc	840.0	947.0	1185.0	2866.0	2441.0	9635.0	17465.0	165.0	1145.0	12985.0	5015.0	8824.0	931.0	4020.0	1208.0	128.0	5916.0	714.0
edd05b5c78f506851115b516892b3321	75.0	4.0	19.0	13.0	0.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
496c01a2e30342ff7aaf6228a24141e0	67.0	81.0	10.0	121.0	13.0	37.0	17.0	48173.0	48468.0	17976.0	4336.0	1781.0	25236.0	25.0	3831.0	2251.0	14988.0	10379.0
6bcbc03ea3130fc01eb5f2a77e60b8fa	65.0	75.0	2201.0	105.0	28435.0	76.0	14112.0	33627.0	52032.0	31644.0	54200.0	35485.0	58384.0	6300.0	49249.0	57338.0	37905.0	14754.0
a582d19f5a58573484cd7a82cf6b756d	46.0	40.0	13.0	27.0	15.0	228.0	0.0	6.0	0.0	42.0	14.0	61.0	7.0	0.0	11.0	0.0	0.0	9.0
0517dd3827f3076011e2035e4bbcbef4	31.0	0.0	0.0	0.0	91.0	11.0	528.0	4.0	0.0	0.0	0.0	0.0	0.0	231.0	0.0	0.0	0.0	0.0
896708d8d4bb01f4dca260fe17782550	27.0	0.0	0.0	0.0	0.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4ae8eb5a965deabf47e2dcdb04517335	25.0	44.0	59.0	258.0	81.0	29.0	2770.0	11758.0	14533.0	2623.0	4885.0	6815.0	6809.0	10565.0	6619.0	10923.0	9528.0	20295.0
6569dcc6221d9026df90c177a91ae9cf	23.0	9.0	13.0	55.0	52.0	157.0	403.0	0.0	17.0	289.0	82.0	187.0	17.0	94.0	14.0	3.0	113.0	10.0
3a45fdff4786216a28342b8e851dc839	18.0	0.0	0.0	0.0	82.0	110.0	0.0	158.0	151.0	94.0	820.0	74.0	334.0	0.0	171.0	28.0	1075.0	226.0
e99c2ea9485600bf1ae121e20732c389	18.0	0.0	7.0	0.0	0.0	0.0	577.0	0.0	0.0	0.0	0.0	0.0	26.0	7832.0	0.0	0.0	3.0	2.0
eed1f9a521815b467d138ea9f683ecc9	17.0	0.0	3.0	96.0	66.0	473.0	1455.0	1.0	7.0	46.0	40.0	30.0	6.0	640.0	3.0	0.0	16.0	2.0
